pack_id,supplier,rice_g,canned_goods_g,noodles_g,biscuits_g,other_g,measured_weight_g
FP001,Supplier A,5000,1800,900,600,700,8920
FP002,Supplier A,5000,1800,900,600,700,8967
FP003,Supplier A,5000,1800,900,600,700,9014
FP004,Supplier A,5000,1800,900,600,700,9061
FP005,Supplier A,5000,1800,900,600,700,9108
FP006,Supplier A,5000,1800,900,600,700,9155
FP007,Supplier A,5000,1800,900,600,700,8962
FP008,Supplier A,5000,1800,900,600,700,9009
FP009,Supplier A,5000,1800,900,600,700,9056
FP010,Supplier A,5000,1800,900,600,700,9103
FP011,Supplier A,5000,1800,900,600,700,9150
FP012,Supplier A,5000,1800,900,600,700,8957
FP013,Supplier A,5000,1800,900,600,700,9004
FP014,Supplier A,5000,1800,900,600,700,9051
FP015,Supplier A,5000,1800,900,600,700,9098
FP016,Supplier A,5000,1800,900,600,700,9145
FP017,Supplier A,5000,1800,900,600,700,8952
FP018,Supplier A,5000,1800,900,600,700,8999
FP019,Supplier A,5000,1800,900,600,700,9046
FP020,Supplier A,5000,1800,900,600,700,9093
FP021,Supplier A,5000,1800,900,600,700,9140
FP022,Supplier A,5000,1800,900,600,700,8947
FP023,Supplier A,5000,1800,900,600,700,8994
FP024,Supplier A,5000,1800,900,600,700,9041
FP025,Supplier A,5000,1800,900,600,700,9088
FP026,Supplier A,5000,1800,900,600,700,9135
FP027,Supplier A,5000,1800,900,600,700,8942
FP028,Supplier A,5000,1800,900,600,700,8989
FP029,Supplier A,5000,1800,900,600,700,9036
FP030,Supplier A,5000,1800,900,600,700,9083
FP031,Supplier B,5000,1800,900,600,700,9130
FP032,Supplier B,5000,1800,900,600,700,8937
FP033,Supplier B,5000,1800,900,600,700,8984
FP034,Supplier B,5000,1800,900,600,700,9031
FP035,Supplier B,5000,1800,900,600,700,9078
FP036,Supplier B,5000,1800,900,600,700,9125
FP037,Supplier B,5000,1800,900,600,700,8932
FP038,Supplier B,5000,1800,900,600,700,8979
FP039,Supplier B,5000,1800,900,600,700,9026
FP040,Supplier B,5000,1800,900,600,700,9073
FP041,Supplier B,5000,1800,900,600,700,9120
FP042,Supplier B,5000,1800,900,600,700,8927
FP043,Supplier B,5000,1800,900,600,700,8974
FP044,Supplier B,5000,1800,900,600,700,9021
FP045,Supplier B,5000,1800,900,600,700,9068
FP046,Supplier B,5000,1800,900,600,700,9115
FP047,Supplier B,5000,1800,900,600,700,8922
FP048,Supplier B,5000,1800,900,600,700,8969
FP049,Supplier B,5000,1800,900,600,700,9016
FP050,Supplier B,5000,1800,900,600,700,9063
FP051,Supplier B,5000,1800,900,600,700,9110
FP052,Supplier B,5000,1800,900,600,700,9157
FP053,Supplier B,5000,1800,900,600,700,8964
FP054,Supplier B,5000,1800,900,600,700,9011
FP055,Supplier B,5000,1800,900,600,700,9058
FP056,Supplier B,5000,1800,900,600,700,9105
FP057,Supplier B,5000,1800,900,600,700,9152
FP058,Supplier B,5000,1800,900,600,700,8959
FP059,Supplier B,5000,1800,900,600,700,9006
FP060,Supplier B,5000,1800,900,600,700,9053
FP061,Supplier C,5000,1800,900,600,700,9100
FP062,Supplier C,5000,1800,900,600,700,9147
FP063,Supplier C,5000,1800,900,600,700,8954
FP064,Supplier C,5000,1800,900,600,700,9001
FP065,Supplier C,5000,1800,900,600,700,9048
FP066,Supplier C,5000,1800,900,600,700,9095
FP067,Supplier C,5000,1800,900,600,700,9142
FP068,Supplier C,5000,1800,900,600,700,8949
FP069,Supplier C,5000,1800,900,600,700,8996
FP070,Supplier C,5000,1800,900,600,700,9043
FP071,Supplier C,5000,1800,900,600,700,9090
FP072,Supplier C,5000,1800,900,600,700,9137
FP073,Supplier C,5000,1800,900,600,700,8944
FP074,Supplier C,5000,1800,900,600,700,8991
FP075,Supplier C,5000,1800,900,600,700,9038
FP076,Supplier C,5000,1800,900,600,700,9085
FP077,Supplier C,5000,1800,900,600,700,9132
FP078,Supplier C,5000,1800,900,600,700,8939
FP079,Supplier C,5000,1800,900,600,700,8986
FP080,Supplier C,5000,1800,900,600,700,9033
FP081,Supplier C,5000,1800,900,600,700,9080
FP082,Supplier C,5000,1800,900,600,700,9127
FP083,Supplier C,5000,1800,900,600,700,8420
FP084,Supplier C,5000,1800,900,600,700,8981
FP085,Supplier C,5000,1800,900,600,700,9028
FP086,Supplier C,5000,1800,900,600,700,9075
FP087,Supplier C,5000,1800,900,600,700,9122
FP088,Supplier C,5000,1800,900,600,700,8929
FP089,Supplier C,5000,1800,900,600,700,8976
FP090,Supplier C,5000,1800,900,600,700,9023
