date,community,service,invited,attended,wait_min,satisfaction
2026-06-01,North,Nutrition,38,21,12.0,3.55
2026-06-01,North,Screening,43,28,20.0,3.62
2026-06-01,Central,Nutrition,49,31,17.0,3.68
2026-06-01,Central,Screening,54,39,25.0,3.75
2026-06-01,Riverside,Nutrition,60,42,22.0,3.81
2026-06-01,Riverside,Screening,65,51,30.0,3.88
2026-06-01,Upland,Nutrition,71,55,27.0,3.94
2026-06-01,Upland,Screening,76,65,35.0,4.01
2026-06-08,North,Nutrition,45,27,15.0,3.66
2026-06-08,North,Screening,50,35,23.0,3.73
2026-06-08,Central,Nutrition,56,38,20.0,3.79
2026-06-08,Central,Screening,61,47,28.0,3.86
2026-06-08,Riverside,Nutrition,67,50,25.0,3.92
2026-06-08,Riverside,Screening,72,60,33.0,3.99
2026-06-08,Upland,Nutrition,78,64,30.0,4.05
2026-06-08,Upland,Screening,41,23,38.0,4.12
2026-06-15,North,Nutrition,52,34,18.0,3.77
2026-06-15,North,Screening,57,43,26.0,3.84
2026-06-15,Central,Nutrition,63,46,23.0,3.90
2026-06-15,Central,Screening,68,56,31.0,3.97
2026-06-15,Riverside,Nutrition,74,59,28.0,4.03
2026-06-15,Riverside,Screening,79,70,36.0,4.10
2026-06-15,Upland,Nutrition,43,37,14.0,4.16
2026-06-15,Upland,Screening,48,29,22.0,4.23
2026-06-22,North,Nutrition,59,42,21.0,3.88
2026-06-22,North,Screening,64,51,29.0,3.95
2026-06-22,Central,Nutrition,70,55,26.0,4.01
2026-06-22,Central,Screening,75,65,34.0,4.08
2026-06-22,Riverside,Nutrition,39,33,12.0,4.14
2026-06-22,Riverside,Screening,44,26,20.0,4.21
2026-06-22,Upland,Nutrition,50,29,17.0,4.27
2026-06-22,Upland,Screening,55,36,25.0,4.34
2026-06-29,North,Nutrition,66,50,24.0,3.99
2026-06-29,North,Screening,71,60,32.0,4.06
2026-06-29,Central,Nutrition,77,64,29.0,4.12
2026-06-29,Central,Screening,40,23,37.0,4.19
2026-06-29,Riverside,Nutrition,46,41,15.0,4.25
2026-06-29,Riverside,Screening,51,33,23.0,4.32
2026-06-29,Upland,Nutrition,57,35,20.0,4.38
2026-06-29,Upland,Screening,62,44,28.0,4.45
2026-07-06,North,Nutrition,73,59,27.0,4.10
2026-07-06,North,Screening,78,70,35.0,4.17
2026-07-06,Central,Nutrition,42,37,13.0,4.23
2026-07-06,Central,Screening,47,29,21.0,4.30
2026-07-06,Riverside,Nutrition,53,32,18.0,4.36
2026-07-06,Riverside,Screening,58,40,26.0,4.43
2026-07-06,Upland,Nutrition,64,43,23.0,4.49
2026-07-06,Upland,Screening,69,52,31.0,4.56
2026-07-13,North,Nutrition,38,33,30.0,4.21
2026-07-13,North,Screening,43,26,38.0,4.28
2026-07-13,Central,Nutrition,49,28,16.0,4.34
2026-07-13,Central,Screening,54,36,24.0,4.41
2026-07-13,Riverside,Nutrition,60,39,21.0,4.47
2026-07-13,Riverside,Screening,65,48,29.0,4.54
2026-07-13,Upland,Nutrition,71,51,26.0,4.60
2026-07-13,Upland,Screening,76,62,34.0,4.67
2026-07-20,North,Nutrition,45,25,14.0,4.32
2026-07-20,North,Screening,50,33,22.0,4.39
2026-07-20,Central,Nutrition,56,35,19.0,4.45
2026-07-20,Central,Screening,61,44,27.0,4.52
2026-07-20,Riverside,Nutrition,67,47,24.0,4.58
2026-07-20,Riverside,Screening,72,57,32.0,4.65
2026-07-20,Upland,Nutrition,78,60,29.0,4.71
2026-07-20,Upland,Screening,41,35,37.0,4.78
2026-07-27,North,Nutrition,52,32,17.0,4.43
2026-07-27,North,Screening,57,40,25.0,4.50
2026-07-27,Central,Nutrition,63,43,22.0,4.56
2026-07-27,Central,Screening,68,52,30.0,4.63
2026-07-27,Riverside,Nutrition,74,56,27.0,4.69
2026-07-27,Riverside,Screening,79,66,35.0,4.76
2026-07-27,Upland,Nutrition,43,35,13.0,4.82
2026-07-27,Upland,Screening,48,27,21.0,3.59
2026-08-03,North,Nutrition,59,39,20.0,4.54
2026-08-03,North,Screening,64,48,28.0,4.61
2026-08-03,Central,Nutrition,70,51,25.0,4.67
2026-08-03,Central,Screening,75,62,33.0,4.74
2026-08-03,Riverside,Nutrition,39,31,30.0,4.80
2026-08-03,Riverside,Screening,44,39,38.0,3.57
2026-08-03,Upland,Nutrition,50,44,16.0,3.63
2026-08-03,Upland,Screening,55,34,24.0,3.70
2026-08-10,North,Nutrition,66,47,23.0,4.65
2026-08-10,North,Screening,71,57,31.0,4.72
2026-08-10,Central,Nutrition,77,60,28.0,4.78
2026-08-10,Central,Screening,40,35,36.0,3.55
2026-08-10,Riverside,Nutrition,46,39,14.0,3.61
2026-08-10,Riverside,Screening,51,30,22.0,3.68
2026-08-10,Upland,Nutrition,57,32,19.0,3.74
2026-08-10,Upland,Screening,62,41,27.0,3.81
2026-08-17,North,Nutrition,73,55,26.0,4.76
2026-08-17,North,Screening,78,66,34.0,4.83
2026-08-17,Central,Nutrition,42,35,12.0,3.59
2026-08-17,Central,Screening,47,27,20.0,3.66
2026-08-17,Riverside,Nutrition,53,48,17.0,3.72
2026-08-17,Riverside,Screening,58,37,25.0,3.79
2026-08-17,Upland,Nutrition,64,40,22.0,3.85
2026-08-17,Upland,Screening,69,49,30.0,3.92
